('2/1/1978', ['2.03', '2.59', '10.2', '40.5', '54.31', '-4.05'])
('3/1/1978', ['2.15', '2.67', '10.2', '44', '63.15', '2.53'])
('4/1/1978', ['2.24', '2.82', '10.1', '47.2', '67.69', '8.57'])
('5/1/1978', ['2.29', '2.82', '10.1', '50.5', '69.44', '13.63'])
('6/1/1978', ['2.28', '2.81', '10', '51.1', '61.26', '18.55'])
('7/1/1978', ['2.16', '2.81', '10.1', '50.1', '80', '21.51'])
('8/1/1978', ['2.01', '2.88', '10.5', '49.3', '71.46', '20.43'])
('9/1/1978', ['1.98', '2.92', '10.9', '52.2', '59.63', '16.89'])
('10/1/1978', ['1.97', '2.99', '11.3', '53.2', '52.05', '9.84'])
('11/1/1978', ['2.02', '3.04', '11.6', '51.9', '57.9', '2.93'])
('12/1/1978', ['2.09', '3.01', '11.8', '54.6', '43.07', '-3.17'])
('1/1/1979', ['2.11', '2.99', '11.9', '60.2', '58.7', '-6.89'])
('2/1/1979', ['2.18', '2.99', '11.9', '64.7', '43.67', '-5.55'])
('3/1/1979', ['2.22', '2.97', '11.8', '70.6', '73.41', '2.88'])
('4/1/1979', ['2.27', '3.01', '11.6', '73.4', '52.06', '7.8'])
('5/1/1979', ['2.35', '3.2', '11.5', '71.9', '67.78', '13.48'])
('6/1/1979', ['2.49', '3.72', '11.5', '66.8', '58.39', '18.18'])
('7/1/1979', ['2.64', '3.89', '11.6', '65.5', '53.62', '21.21'])
('8/1/1979', ['2.54', '3.74', '12', '62.2', '64.12', '20.17'])
('9/1/1979', ['2.51', '3.87', '12.3', '66.8', '65.62', '16.99'])
('10/1/1979', ['2.41', '3.98', '12.6', '64.6', '46.03', '10.86'])
('11/1/1979', ['2.27', '3.94', '12.9', '63.9', '39.86', '2.77'])
('12/1/1979', ['2.38', '3.81', '12.8', '64.4', '34.13', '-1.36'])
('1/1/1980', ['2.45', '3.74', '12.8', '63.8', '25.74', '-3.6'])
('2/1/1980', ['2.39', '3.78', '12.8', '67', '49.52', '-1.45'])
('3/1/1980', ['2.4', '3.64', '12.8', '64.4', '48.85', '1.75'])
('4/1/1980', ['2.36', '3.58', '12.7', '60.6', '46.68', '8.47'])
('5/1/1980', ['2.42', '3.69', '12.6', '60.7', '76.14', '13.94'])
('6/1/1980', ['2.49', '3.69', '12.5', '61.1', '78.22', '18.61'])
('7/1/1980', ['2.73', '3.81', '12.6', '63.2', '79.9', '22.31'])
('8/1/1980', ['2.92', '3.94', '12.8', '64.4', '71.65', '20.59'])
('9/1/1980', ['3.01', '3.99', '13.2', '63', '50.12', '16.64'])
('10/1/1980', ['2.99', '4.19', '13.7', '62.1', '69.88', '9.45'])
('11/1/1980', ['3.1', '4.32', '14', '60', '47.14', '3.25'])
('12/1/1980', ['3.19', '4.22', '14.1', '59.4', '51.65', '-2.35'])
('1/1/1981', ['3.19', '4.21', '14.1', '60.4', '62.16', '-1.04'])
('2/1/1981', ['3.22', '4.17', '14', '59.4', '48.35', '-0.08'])
('3/1/1981', ['3.25', '4.09', '13.8', '58.2', '57.43', '3.94'])
('4/1/1981', ['3.24', '4.07', '13.7', '61', '54.18', '9.98'])
('5/1/1981', ['3.24', '3.95', '13.5', '60.5', '75.81', '13.57'])
('6/1/1981', ['3.17', '3.7', '13.4', '61.4', '78.05', '19.1'])
('7/1/1981', ['3.14', '3.62', '13.4', '60.5', '74.31', '21.32'])
